target.cycle,target.energy,target.edp,target.area,mapping.mapping,arch.pe,arch.mac,arch.meshX,arch.mem1_entries,arch.mem1_depth,arch.mem1_width,arch.mem1_instances,arch.mem1_word-bits,arch.mem1_network-word-bits,arch.mem1_n_rdwr_ports,arch.mem1_n_banks,arch.mem1_shared_bandwidth,arch.mem2_entries,arch.mem2_depth,arch.mem2_width,arch.mem2_instances,arch.mem2_meshX,arch.mem2_word-bits,arch.mem2_n_rdwr_ports,arch.mem2_n_banks,arch.mem2_shared_bandwidth,arch.name,prob.shape,prob.C,prob.Hdilation,prob.Hstride,prob.K,prob.N,prob.P,prob.Q,prob.R,prob.S,prob.Wdilation,prob.Wstride
1048576,19.051972,19.97744,0.708209,L3[WIO] K8 P8 - L2[WI] N1 - L1[O] K16 C64 P16 - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
72704,37.406997,2.719638,0.708209,L3[WIO] C8 K8 P32 - L2[WI] N1 K8X - L1[O] K2 C4 P4 C2X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
131072,26.470508,3.469542,0.708209,L3[WIO] P8 K16 C8 - L2[WI] N1 K2X - L1[O] K4 C2 P16 C4X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
72704,40.702917,2.959265,0.708209,L3[WIO] C8 K8 P128 - L2[WI] N1 K8X - L1[O] K2 C4 C2X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
536576,27.046376,14.51244,0.708209,L3[WIO] P8 C4 K8 - L2[WI] N1 K2X - L1[O] K8 C16 P16 - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
1105920,62.487849,69.10656,0.708209,L3[WIO] K32 C8 P4 - L2[WI] N1 - L1[O] K4 C8 P32 - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
39936,35.730063,1.426916,0.708209,L3[WIO] C8 K8 P16 - L2[WI] N1 K8X - L1[O] K2 C2 P8 C4X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
33280,16.468076,0.5480576,0.708209,L3[WIO] P8 C2 K8 - L2[WI] N1 K16X - L1[O] C16 P16 C2X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
39936,36.279383,1.448853,0.708209,L3[WIO] C8 K8 P32 - L2[WI] N1 K8X - L1[O] K2 C2 P4 C4X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
1048576,40.264894,42.2208,0.708209,L3[WIO] P32 C64 - L2[WI] N1 - L1[O] K128 P4 - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
